age,LOW,HIGH
3,14,18
4,13.8,17.8
5,13.5,17.5
6,13.5,17.8
7,13.8,18.5
8,14,19
9,14.5,20
10,15,21
11,15.5,22
12,16,23
13,16.5,24
14,17,25
15,17.5,26
16,18,27
17,18.3,28
